timestamp,open,high,low,close,volume
2020-07-24,15.3600,15.3600,15.0200,15.1600,76980
2020-07-23,15.3500,15.3500,15.1100,15.1700,93472
2020-07-22,15.5000,15.5000,15.3800,15.4500,112289
2020-07-21,15.7800,15.7800,15.4300,15.4300,83070
2020-07-20,15.9000,15.9000,15.6800,15.7800,64705
2020-07-17,15.7600,15.8200,15.7000,15.7600,60800
2020-07-16,15.8000,15.8700,15.8000,15.8300,38600
2020-07-15,15.6500,16.0200,15.6500,15.9200,47000
2020-07-14,16.1300,16.1300,15.9900,16.0600,32400
2020-07-13,16.2500,16.4200,16.0900,16.0900,39500
2020-07-10,16.3600,16.5100,16.3300,16.4300,35200
2020-07-09,16.7800,16.7800,16.5400,16.6100,28300
2020-07-08,16.8600,17.0000,16.8300,16.9900,65600
2020-07-07,16.8300,17.0000,16.8300,16.8500,70300
2020-07-06,16.7500,17.0500,16.5000,17.0500,134800
2020-07-02,15.4500,15.7200,15.4500,15.6800,96600
2020-07-01,15.5000,15.5000,15.2300,15.2800,176100
2020-06-30,15.9900,16.1200,15.8500,15.9000,147600
2020-06-29,16.0000,16.0600,15.9300,16.0300,182700
2020-06-26,15.9300,16.5200,15.7200,15.7700,73600
2020-06-25,15.7600,15.9200,15.7600,15.8200,52700
2020-06-24,15.4500,15.8600,15.4500,15.8500,34700
2020-06-23,16.1200,16.1400,16.0100,16.0100,38600
2020-06-22,15.9200,16.0000,15.8800,15.9300,37700
2020-06-19,15.6300,16.1000,15.5500,15.9400,58400
2020-06-18,15.5900,15.8600,15.5900,15.7800,50700
2020-06-17,15.6300,16.0000,15.6300,15.8400,89400
2020-06-16,16.1100,16.1500,15.8900,15.9200,58400
2020-06-15,15.3200,16.0300,15.3200,15.9800,49500
2020-06-12,16.0500,16.0600,15.8300,15.9900,115600
2020-06-11,16.0700,16.1100,15.8300,15.8500,67100
2020-06-10,16.8800,16.8800,16.2800,16.4600,49900
2020-06-09,16.0500,16.3000,16.0500,16.2500,80200
2020-06-08,16.2600,16.3600,16.1500,16.3500,134000
2020-06-05,16.3000,16.7000,16.3000,16.6100,85300
2020-06-04,16.3000,16.3700,16.1900,16.2800,42700
2020-06-03,16.4000,16.5900,16.4000,16.5700,99500
2020-06-02,16.2400,16.4100,16.2400,16.4000,218800
2020-06-01,15.7500,16.1500,15.7500,16.1300,84500
2020-05-29,15.7000,15.8000,15.5300,15.7500,258900
2020-05-28,15.3500,15.9900,15.3500,15.7700,100800
2020-05-27,15.7000,15.7000,15.4600,15.5600,300200
2020-05-26,15.5000,15.8600,15.5000,15.5800,1080900
2020-05-22,15.7700,15.7700,15.4800,15.5700,169200
2020-05-21,15.9600,15.9700,15.8400,15.8800,103200
2020-05-20,15.9800,16.2600,15.9800,16.1500,97000
2020-05-19,15.4800,16.0600,15.4800,15.9100,161700
2020-05-18,15.5700,16.1700,15.5700,16.1300,116000
2020-05-15,15.2900,15.5900,15.2900,15.5700,102200
2020-05-14,15.5500,15.7100,15.5000,15.7100,163200
2020-05-13,15.8000,15.8200,15.5600,15.7000,112100
2020-05-12,15.9000,15.9600,15.7500,15.7500,142200
2020-05-11,15.4500,15.9000,15.4500,15.8500,62100
2020-05-08,15.3000,15.9300,15.3000,15.8700,184200
2020-05-07,15.6100,15.6200,15.5400,15.5700,72000
2020-05-06,15.7200,15.7200,15.6100,15.6100,66100
2020-05-05,15.2800,15.7000,15.2200,15.6300,283400
2020-05-04,15.3900,15.5600,15.3900,15.5300,381800
2020-05-01,15.5800,15.6000,15.3800,15.4300,160800
2020-04-30,16.5100,16.5100,15.8300,15.8500,126900
2020-04-29,16.0100,16.4100,16.0100,16.3600,124100
2020-04-28,16.2000,16.3700,16.0300,16.0300,118300
2020-04-27,15.6000,15.9900,15.6000,15.9600,211000
2020-04-24,15.3100,15.5500,15.3100,15.5400,150500
2020-04-23,16.1200,16.1200,14.9600,15.4000,132300
2020-04-22,14.9300,15.4900,14.9300,15.4600,116600
2020-04-21,15.2000,15.3500,15.2000,15.2600,285400
2020-04-20,15.5000,15.6500,15.4500,15.4800,177700
2020-04-17,15.6800,15.7000,15.5900,15.7000,95700
2020-04-16,16.3300,16.3300,15.5400,15.5600,190300
2020-04-15,15.6600,15.8800,15.6600,15.7900,105600
2020-04-14,15.3700,16.4900,15.3700,16.0800,153000
2020-04-13,16.5000,16.5000,15.7700,15.9200,142900
2020-04-09,16.0500,16.1700,15.9700,15.9700,123000
2020-04-08,16.8600,16.8600,15.9400,16.1100,136900
2020-04-07,16.3400,16.3700,16.0000,16.0600,131800
2020-04-06,16.2200,16.2200,15.9500,16.1600,144800
2020-04-03,15.2800,15.8500,15.2800,15.6400,91900
2020-04-02,15.7700,15.9500,15.7300,15.9200,139400
2020-04-01,16.5700,16.5700,15.5700,15.5700,161300
2020-03-31,15.4300,16.3400,15.4300,16.1900,132000
2020-03-30,15.7000,16.3200,15.5000,16.2900,940600
2020-03-27,15.8400,16.0000,15.7300,15.7300,298800
2020-03-26,15.0800,16.7000,15.0800,16.7000,376200
2020-03-25,15.2400,16.5400,15.2400,16.3800,185100
2020-03-24,15.0900,16.5800,15.0900,16.5800,340800
2020-03-23,15.6300,15.6700,15.2200,15.4800,2430600
2020-03-20,14.9600,15.8900,14.9600,15.2200,878200
2020-03-19,14.7900,15.9100,14.7900,15.6500,268300
2020-03-18,15.1300,15.6100,15.0000,15.4500,337000
2020-03-17,15.5000,16.1300,15.4200,16.0500,443500
2020-03-16,14.4800,15.6200,14.4800,15.3000,165800
2020-03-13,16.6000,16.6000,15.7100,16.4400,291200
2020-03-12,15.5200,16.0000,15.2700,15.7500,462700
2020-03-11,15.9900,16.5900,15.9900,16.4100,218700
2020-03-10,16.3100,16.6900,16.1900,16.6300,138500
2020-03-09,15.8600,16.0700,15.7500,15.9500,165800
2020-03-06,16.1800,16.2200,16.0200,16.2200,125200
2020-03-05,16.6300,16.7100,16.4700,16.5000,94800
2020-03-04,16.5400,16.6000,16.5000,16.5700,135300
