timestamp,open,high,low,close,volume
2020-07-24,26.4700,26.8500,26.2000,26.2600,39357026
2020-07-23,26.1600,26.5100,25.7000,26.3500,50790951
2020-07-22,26.1300,26.3500,25.8200,26.2600,41030493
2020-07-21,24.7500,26.2800,24.7100,26.2000,58381042
2020-07-20,24.7200,24.8800,24.4000,24.5700,38631498
2020-07-17,25.4900,25.6400,24.8600,24.9500,39182200
2020-07-16,24.9100,26.0900,24.8200,25.4600,48647300
2020-07-15,24.9800,25.5500,24.8400,25.3500,61661800
2020-07-14,23.9200,24.3900,23.3300,24.2500,118729400
2020-07-13,25.8200,26.0400,24.9400,25.4100,50881700
2020-07-10,24.1800,25.5300,24.1500,25.4700,56448700
2020-07-09,24.5000,24.7800,23.7100,24.0400,38019800
2020-07-08,24.4400,24.7800,24.0700,24.5500,38373400
2020-07-07,25.2000,25.2200,24.3400,24.4600,36829400
2020-07-06,25.8200,26.0200,24.9800,25.4900,46900700
2020-07-02,25.7500,26.1700,25.1000,25.3400,36968000
2020-07-01,25.7300,25.9600,24.9300,25.0900,37483700
2020-06-30,25.2100,25.8700,25.1700,25.6000,46573800
2020-06-29,25.5900,25.9000,25.2600,25.7000,43563400
2020-06-26,26.1000,26.4000,25.2500,25.3400,81084876
2020-06-25,25.9600,27.4100,25.8900,27.3700,44902927
2020-06-24,26.9600,27.0300,25.9900,26.1200,57280648
2020-06-23,27.7800,28.2900,27.1900,27.2300,47218565
2020-06-22,27.2700,27.6250,26.8900,27.3500,32751553
2020-06-19,28.0000,28.0500,27.0100,27.6000,71899322
2020-06-18,27.1000,27.9250,26.9300,27.5500,33555454
2020-06-17,28.5000,28.5500,27.3500,27.4500,38558116
2020-06-16,29.4300,29.6500,27.7700,28.5200,52854726
2020-06-15,26.8600,28.3850,26.5600,28.2100,48214247
2020-06-12,28.0000,28.2300,27.3500,27.9700,51271309
2020-06-11,27.2000,28.4250,26.7000,26.7900,75442634
2020-06-10,32.3000,32.3300,29.6500,29.7100,81658965
2020-06-09,32.4400,33.0800,31.5100,32.6300,51386552
2020-06-08,32.9000,33.4300,32.2650,33.3200,68814788
2020-06-05,33.8900,33.8900,31.4600,31.6700,107597896
