,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
18,1.6052384,1.6547618,1.6619318,0.8199252,0.07275408,1.6935489,1.3448136,1.4365128,0.8878843,-0.5508643,3.2507217,0.17521408,3.361795,-1.3402642,-1.501901,1.0544882,1.2511686,2.2572596,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-19
19,1.8006576,1.7997706,1.6726037,0.75452006,0.016910603,1.6976312,1.343807,1.4252574,0.8745261,-0.43228352,3.2693236,0.10192427,3.447145,-1.3771234,-1.503923,1.1141056,1.3916237,2.2646623,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-20
20,1.7735342,1.9352227,1.684019,0.70613515,-0.024812585,1.7012444,1.3431089,1.4145517,0.86229926,-0.32463646,3.2879255,0.028634468,3.5324948,-1.4139826,-1.5059451,1.173723,1.5320787,2.272065,17.0,555.0,28.0,510.0,555.0,28.0,2020-01-21
21,1.5425026,2.05389,1.6960754,0.66476464,-0.05891176,1.7044388,1.3428258,1.404559,0.8514108,-0.31569073,3.4559658,-0.08779262,3.7226818,-1.6794149,-1.5560704,1.3933387,1.4606417,2.4077694,35.0,1208.0,58.0,1115.0,99.0,2.0,2020-01-22
22,1.3103782,2.150882,1.708667,0.6352171,-0.0826614,1.7072651,1.343064,1.3954427,0.8420675,-0.38318136,3.3696105,-0.28629223,3.6461043,-1.8198925,-1.5996541,1.1660825,1.441512,2.3872533,44.0,1594.0,66.0,1484.0,288.0,6.0,2020-01-23
23,1.203431,2.2239106,1.7216942,0.6201434,-0.096812345,1.7097738,1.3439299,1.3873662,0.8344762,-0.45206353,3.6324177,-0.19153322,3.9056635,-1.7870593,-1.6325369,1.1936938,1.3578157,2.5251968,68.0,2379.0,75.0,2236.0,497.0,3.0,2020-01-24
24,1.1585357,2.2729943,1.7350746,0.62197435,-0.09965762,1.7120154,1.3455302,1.3804927,0.8288438,-0.47621703,3.4033031,-0.33568254,3.9165988,-1.8190179,-1.6486802,1.0629332,1.2358311,2.39188,98.0,3556.0,91.0,3367.0,680.0,13.0,2020-01-25
25,1.229434,2.2999847,1.7487519,0.6423769,-0.08598818,1.7140404,1.3479711,1.3749858,0.82537705,-0.4266179,3.1741889,-0.47983184,3.927534,-1.8509766,-1.6648235,0.9321726,1.1138465,2.2585633,138.0,5044.0,113.0,4793.0,808.0,9.0,2020-01-26
26,1.251857,2.307814,1.7626902,0.66923314,-0.06233795,1.7158992,1.3513591,1.3710086,0.8242829,-0.35574776,2.9450743,-0.6239812,3.9384694,-1.8829352,-1.680967,0.801412,0.991862,2.1252468,213.0,8504.0,168.0,8123.0,2652.0,46.0,2020-01-27
27,1.202705,2.2996356,1.7768608,0.7054179,-0.029994361,1.7176427,1.3558007,1.3687248,0.8257682,-0.31559134,3.0445,-0.539664,3.981726,-2.1217456,-1.6915305,0.77329814,0.90411013,2.1459155,264.0,11743.0,233.0,11246.0,587.0,19.0,2020-01-28
