timestamp,open,high,low,close,volume
2020-07-24,29.8000,30.2100,29.4600,29.5700,38727179
2020-07-23,30.1500,30.1500,29.5400,29.9000,51503445
2020-07-22,30.1600,30.2700,29.9500,30.1600,30508666
2020-07-21,29.8900,30.4200,29.8600,30.2500,34245793
2020-07-20,30.1800,30.1800,29.8000,29.8500,32375541
2020-07-17,30.4800,30.5300,30.1800,30.2500,23138200
2020-07-16,29.9700,30.5000,29.9200,30.3900,32977300
2020-07-15,30.0700,30.1300,29.8500,30.0100,30944800
2020-07-14,29.7200,30.1000,29.5300,29.9600,30500600
2020-07-13,30.1600,30.1700,29.6400,29.7600,40957700
2020-07-10,29.5000,30.2300,29.4500,30.1300,36890200
2020-07-09,29.8700,29.8800,29.3900,29.5400,39347000
2020-07-08,30.4600,30.5500,30.1500,30.4600,38860800
2020-07-07,30.3000,30.4500,30.2300,30.3200,27546300
2020-07-06,30.5400,30.6000,30.2400,30.4900,33698300
2020-07-02,30.1100,30.5000,30.0200,30.0800,37702800
2020-07-01,30.1300,30.4800,29.8500,29.9000,30976200
2020-06-30,30.0100,30.3400,29.7100,30.2300,43757900
2020-06-29,29.3300,29.9300,29.2900,29.9100,37495800
2020-06-26,29.5600,29.5600,28.9200,29.0800,76550800
2020-06-25,29.4900,29.8100,29.2100,29.7200,36517700
2020-06-24,30.0300,30.0400,29.1600,29.4200,65532600
2020-06-23,30.3000,30.6800,30.2000,30.2500,38886900
2020-06-22,30.1800,30.3000,30.0000,30.1100,29535200
2020-06-19,30.6900,30.7500,29.9800,30.3100,74991400
2020-06-18,30.0600,30.4100,29.9500,30.3500,28334200
2020-06-17,30.7800,30.8200,30.2100,30.2600,31438400
2020-06-16,31.4200,31.4700,30.3600,30.7800,41583500
2020-06-15,29.9900,30.6500,29.5200,30.5000,40215000
2020-06-12,31.0200,31.0800,30.0100,30.5000,36265800
2020-06-11,31.2000,31.3200,30.1200,30.1700,49810200
2020-06-10,32.5700,32.6200,32.1000,32.1400,27240900
2020-06-09,32.8100,32.8600,32.3500,32.6200,32195700
2020-06-08,33.0000,33.2400,32.6900,33.2300,34261200
2020-06-05,32.5400,33.0000,32.2300,32.7700,46689300
2020-06-04,31.3900,31.8000,31.2800,31.8000,30741200
2020-06-03,31.3000,31.6600,31.2800,31.5100,27839100
2020-06-02,31.0500,31.1000,30.7100,30.9900,28424200
2020-06-01,30.7500,31.2400,30.6000,30.9300,24944700
2020-05-29,30.5500,30.9600,30.3300,30.8600,43731300
2020-05-28,32.0300,32.0700,30.9700,31.0600,39676800
2020-05-27,31.7400,31.9800,31.5300,31.8500,43418200
2020-05-26,30.6400,31.1200,30.5700,30.8200,41364800
2020-05-22,29.7800,29.9100,29.4300,29.8800,26629500
2020-05-21,29.7900,30.0600,29.5300,29.7700,39339600
2020-05-20,29.2700,29.8200,29.0100,29.5900,37876700
2020-05-19,29.4600,29.5200,28.9000,28.9600,35194300
2020-05-18,28.9900,29.6900,28.9300,29.4500,34924500
