Date,Weekly_average_change_views,Weekly_average_views
2018-01-07,5029663.639485906,46247.3125
2018-01-14,4772799.213024462,173365.38709677418
2018-01-21,4779435.082716916,54716.1
2018-01-28,3399658.0505857584,44411.833333333336
2018-02-04,4706080.572431294,27430.129032258064
2018-02-11,4708927.101333478,43693.0
2018-02-18,4829794.834638864,31520.129032258064
2018-02-25,4777195.3305418985,4044.3333333333335
2018-03-04,4506231.739013066,47279.8
2018-03-11,4757860.536194332,13707.90322580645
2018-03-18,4957816.84488342,18820.290322580644
2018-03-25,4700349.435294811,13174.225806451614
2018-04-01,4773668.02977682,26273.16129032258
2018-04-08,5586105.367925736,116138.2
2018-04-15,4857615.393394852,14131.90625
2018-04-22,5156125.065393331,12235.4375
2018-04-29,4839221.730955978,5395.53125
2018-05-06,5255876.011707581,19761.0
2018-05-13,5209372.146341464,4208.741935483871
2018-05-20,4720270.56267199,6087.225806451613
2018-05-27,4949945.833486213,13798.09677419355
2018-06-03,4927707.047482869,50838.3870967742
2018-06-10,5000245.517507418,44196.6129032258
2018-06-17,5292781.8599719405,21423.033333333333
2018-06-24,5439745.396600108,224866.6
2018-07-01,5503572.612217366,2916.5862068965516
2018-07-08,5516851.465519102,22391.90322580645
2018-07-15,5425739.301246425,28383.58064516129
2018-07-22,6183809.398737251,28872.3
2018-07-29,6077383.069015756,8020.548387096775
2018-08-05,6256020.618086657,4864.233333333334
2018-08-12,5771601.837002266,4624.333333333333
2018-08-19,6499200.0220675515,3950.2
2018-08-26,6782807.893936561,31428.0
2018-09-02,6960363.416065612,29297.75
2018-09-09,6531212.172355723,38400.75
2018-09-16,5808901.49150006,30990.5
2018-09-23,5718617.273772261,4427.448275862069
2018-09-30,5730486.08192563,3459.3548387096776
2018-10-07,6017810.340817098,2740.6129032258063
2018-10-14,5357988.510448729,4716.8125
2018-10-21,5507159.861676516,5576.53125
2018-10-28,5693277.800452389,4793.6875
2018-11-04,5452818.722009389,5468.548387096775
2018-11-11,5531963.755813326,7120.741935483871
2018-11-18,5354766.051734369,6283.5
2018-11-25,5541921.796665947,9669.28125
2018-12-02,5496325.4559236085,10409.6875
2018-12-09,4694226.052114803,340697.36363636365
2018-12-16,5383702.730632283,4754427.84375
2018-12-23,5498834.512462236,18677830.9375
2018-12-30,5900220.970976965,17786368.666666668
2019-01-06,5963931.7005448565,837763.5
2019-01-13,5828920.257283125,444639.55555555556
2019-01-20,6639659.215041001,277562.8
2019-01-27,6479909.682112418,245081.4
2019-02-03,6552587.495846369,454333.1
2019-02-10,6307527.630542669,255875.8
2019-02-17,6763509.957063949,1590213.888888889
2019-02-24,6702617.87095382,861546.0
2019-03-03,6453485.383847648,1418977.0833333333
2019-03-10,6094413.542403971,1093721.7272727273
2019-03-17,6058752.226934283,1967598.0
2019-03-24,6468780.915623651,1209756.6153846155
2019-03-31,6201416.391421635,1301911.1538461538
2019-04-07,6143085.667422035,856746.375
2019-04-14,6958368.864249487,747375.6111111111
2019-04-21,6665826.827119193,671353.8888888889
2019-04-28,6508846.840982441,681150.0681818182
2019-05-05,6188487.111330049,858244.2653061225
2019-05-12,6821646.3876420865,781302.28
2019-05-19,6319387.887264686,790714.0
2019-05-26,6462368.055720373,842752.5892857143
2019-06-02,6733693.540241666,1212752.0
2019-06-09,6842250.323191455,665700.052631579
2019-06-16,6664844.568214921,168590.75079872203
2019-06-23,6400919.602235122,58899.10624169987
2019-06-30,6239266.648755198,5302560.667270289
2019-07-07,7132824.9311191095,5640300.915415449
2019-07-14,6943208.966563703,4697217.140946364
2019-07-21,6731537.71682132,4303634.492677054
2019-07-28,6723401.556793359,4220784.207833787
