,data,_cacheHit
26,"{'updated_at': '2020-05-30T00:32:45.000Z', 'date': '2020-05-30', 'deaths': 369072, 'confirmed': 6056561, 'recovered': 2562715, 'new_confirmed': 134708, 'new_recovered': 71130, 'new_deaths': 4259, 'active': 3124774}",True
27,"{'updated_at': '2020-05-29T00:32:48.000Z', 'date': '2020-05-29', 'deaths': 364813, 'confirmed': 5921853, 'recovered': 2491585, 'new_confirmed': 115328, 'new_recovered': 77571, 'new_deaths': 4559, 'active': 3065455}",True
28,"{'updated_at': '2020-05-28T00:32:50.000Z', 'date': '2020-05-28', 'deaths': 360254, 'confirmed': 5806525, 'recovered': 2414014, 'new_confirmed': 117196, 'new_recovered': 65954, 'new_deaths': 4679, 'active': 3032257}",True
29,"{'updated_at': '2020-05-27T00:32:31.000Z', 'date': '2020-05-27', 'deaths': 355575, 'confirmed': 5689382, 'recovered': 2348152, 'new_confirmed': 102150, 'new_recovered': 63127, 'new_deaths': 5176, 'active': 2985655}",True
30,"{'updated_at': '2020-05-26T00:32:31.000Z', 'date': '2020-05-26', 'deaths': 350399, 'confirmed': 5587232, 'recovered': 2285025, 'new_confirmed': 94776, 'new_recovered': 55209, 'new_deaths': 4221, 'active': 2951808}",True
31,"{'updated_at': '2020-05-25T00:32:35.000Z', 'date': '2020-05-25', 'deaths': 346178, 'confirmed': 5492676, 'recovered': 2229816, 'new_confirmed': 87812, 'new_recovered': 63205, 'new_deaths': 3092, 'active': 2916682}",True
32,"{'updated_at': '2020-05-24T00:32:44.000Z', 'date': '2020-05-24', 'deaths': 345006, 'confirmed': 5405236, 'recovered': 2166648, 'new_confirmed': 97244, 'new_recovered': 56365, 'new_deaths': 2962, 'active': 2893582}",True
33,"{'updated_at': '2020-05-23T00:32:43.000Z', 'date': '2020-05-23', 'deaths': 342044, 'confirmed': 5307992, 'recovered': 2110284, 'new_confirmed': 99522, 'new_recovered': 55526, 'new_deaths': 3936, 'active': 2855664}",True
34,"{'updated_at': '2020-05-22T00:32:42.000Z', 'date': '2020-05-22', 'deaths': 338108, 'confirmed': 5208470, 'recovered': 2054758, 'new_confirmed': 108392, 'new_recovered': 107896, 'new_deaths': 5236, 'active': 2815604}",True
35,"{'updated_at': '2020-05-21T00:36:51.000Z', 'date': '2020-05-21', 'deaths': 332872, 'confirmed': 5100078, 'recovered': 1946862, 'new_confirmed': 106017, 'new_recovered': 51270, 'new_deaths': 4809, 'active': 2820344}",True
36,"{'updated_at': '2020-05-20T00:32:48.000Z', 'date': '2020-05-20', 'deaths': 328063, 'confirmed': 4994165, 'recovered': 1895592, 'new_confirmed': 99486, 'new_recovered': 58864, 'new_deaths': 4830, 'active': 2770510}",True
37,"{'updated_at': '2020-05-19T00:32:19.000Z', 'date': '2020-05-19', 'deaths': 323233, 'confirmed': 4895198, 'recovered': 1837125, 'new_confirmed': 95719, 'new_recovered': 52030, 'new_deaths': 5021, 'active': 2734840}",True
38,"{'updated_at': '2020-05-18T00:32:18.000Z', 'date': '2020-05-18', 'deaths': 318429, 'confirmed': 4799688, 'recovered': 1785095, 'new_confirmed': 88309, 'new_recovered': 52906, 'new_deaths': 3297, 'active': 2696164}",True
39,"{'updated_at': '2020-05-17T00:32:21.000Z', 'date': '2020-05-17', 'deaths': 315133, 'confirmed': 4711379, 'recovered': 1732189, 'new_confirmed': 79534, 'new_recovered': 40766, 'new_deaths': 3404, 'active': 2664057}",True
40,"{'updated_at': '2020-05-16T00:32:32.000Z', 'date': '2020-05-16', 'deaths': 311729, 'confirmed': 4631845, 'recovered': 1691431, 'new_confirmed': 91720, 'new_recovered': 56117, 'new_deaths': 4115, 'active': 2628685}",True
41,"{'updated_at': '2020-05-15T00:32:19.000Z', 'date': '2020-05-15', 'deaths': 307614, 'confirmed': 4540125, 'recovered': 1635322, 'new_confirmed': 100183, 'new_recovered': 49164, 'new_deaths': 5248, 'active': 2597189}",True
42,"{'updated_at': '2020-05-14T00:33:02.000Z', 'date': '2020-05-14', 'deaths': 302366, 'confirmed': 4439942, 'recovered': 1586158, 'new_confirmed': 95121, 'new_recovered': 39322, 'new_deaths': 5221, 'active': 2551418}",True
43,"{'updated_at': '2020-05-13T01:32:28.000Z', 'date': '2020-05-13', 'deaths': 297145, 'confirmed': 4344822, 'recovered': 1546836, 'new_confirmed': 85227, 'new_recovered': 55128, 'new_deaths': 5233, 'active': 2500841}",True
44,"{'updated_at': '2020-05-12T01:32:26.000Z', 'date': '2020-05-12', 'deaths': 291912, 'confirmed': 4259760, 'recovered': 1491708, 'new_confirmed': 84436, 'new_recovered': 39626, 'new_deaths': 5639, 'active': 2476140}",True
45,"{'updated_at': '2020-05-11T01:32:27.000Z', 'date': '2020-05-11', 'deaths': 286279, 'confirmed': 4175344, 'recovered': 1454528, 'new_confirmed': 75848, 'new_recovered': 47187, 'new_deaths': 3621, 'active': 2434537}",True
46,"{'updated_at': '2020-05-10T00:32:30.000Z', 'date': '2020-05-10', 'deaths': 282658, 'confirmed': 4099553, 'recovered': 1407341, 'new_confirmed': 77689, 'new_recovered': 33280, 'new_deaths': 3398, 'active': 2409554}",True
47,"{'updated_at': '2020-05-09T00:32:30.000Z', 'date': '2020-05-09', 'deaths': 279260, 'confirmed': 4021873, 'recovered': 1374061, 'new_confirmed': 85943, 'new_recovered': 53513, 'new_deaths': 4412, 'active': 2368552}",True
48,"{'updated_at': '2020-05-08T00:32:35.000Z', 'date': '2020-05-08', 'deaths': 274848, 'confirmed': 3935930, 'recovered': 1320548, 'new_confirmed': 93825, 'new_recovered': 37252, 'new_deaths': 5331, 'active': 2340534}",True
49,"{'updated_at': '2020-05-07T00:32:32.000Z', 'date': '2020-05-07', 'deaths': 269517, 'confirmed': 3843585, 'recovered': 1283296, 'new_confirmed': 91939, 'new_recovered': 39243, 'new_deaths': 5735, 'active': 2290772}",True
50,"{'updated_at': '2020-05-06T00:32:28.000Z', 'date': '2020-05-06', 'deaths': 263782, 'confirmed': 3753229, 'recovered': 1244054, 'new_confirmed': 92647, 'new_recovered': 46533, 'new_deaths': 6592, 'active': 2245393}",True
51,"{'updated_at': '2020-05-05T00:32:31.000Z', 'date': '2020-05-05', 'deaths': 257190, 'confirmed': 3660582, 'recovered': 1197521, 'new_confirmed': 79626, 'new_recovered': 35996, 'new_deaths': 5702, 'active': 2205871}",True
52,"{'updated_at': '2020-05-04T00:32:34.000Z', 'date': '2020-05-04', 'deaths': 251488, 'confirmed': 3580956, 'recovered': 1161525, 'new_confirmed': 76308, 'new_recovered': 37435, 'new_deaths': 4063, 'active': 2167943}",True
53,"{'updated_at': '2020-05-03T00:32:28.000Z', 'date': '2020-05-03', 'deaths': 247425, 'confirmed': 3504649, 'recovered': 1124090, 'new_confirmed': 79354, 'new_recovered': 32072, 'new_deaths': 3662, 'active': 2133134}",True
54,"{'updated_at': '2020-05-02T00:32:28.000Z', 'date': '2020-05-02', 'deaths': 243763, 'confirmed': 3425295, 'recovered': 1092018, 'new_confirmed': 83716, 'new_recovered': 40179, 'new_deaths': 5158, 'active': 2089514}",True
55,"{'updated_at': '2020-05-01T00:32:27.000Z', 'date': '2020-05-01', 'deaths': 238605, 'confirmed': 3341746, 'recovered': 1052304, 'new_confirmed': 86915, 'new_recovered': 38549, 'new_deaths': 5268, 'active': 2050837}",True
