202, 40.06;16.01.2020
203, 41.278;17.01.2020
204, 41.221;18.01.2020
205, 41.165;19.01.2020
206, 41.108;20.01.2020
207, 41.051;21.01.2020
208, 42.235;22.01.2020
209, 48.796;23.01.2020
210, 48.92;24.01.2020
211, 45.181;25.01.2020
212, 41.518;26.01.2020
213, 38.382;27.01.2020
214, 44.683;28.01.2020
215, 48.543;29.01.2020
216, 45.005;30.01.2020
217, 41.467;31.01.2020
218, 37.93;01.02.2020
219, 36.024;02.02.2020
220, 39.015;03.02.2020
221, 42.006;04.02.2020
222, 44.235;05.02.2020
223, 41.126;06.02.2020
224, 38.017;07.02.2020
225, 35.276;08.02.2020
226, 33.347;09.02.2020
227, 39.859;10.02.2020
228, 41.286;11.02.2020
229, 52.543;12.02.2020
230, 38.291;13.02.2020
231, 40.221;14.02.2020
232, 42.151;15.02.2020
233, 34.869;16.02.2020
234, 37.266;17.02.2020
235, 48.844;18.02.2020
236, 48.211;19.02.2020
237, 63.829;20.02.2020
238, 48.633;21.02.2020
239, 43.075;22.02.2020
240, 38.894;23.02.2020
241, 39.015;24.02.2020
242, 39.136;25.02.2020
243, 46.915;26.02.2020
244, 50.955;27.02.2020
245, 47.078;28.02.2020
246, 45.286;29.02.2020
247, 44.261;01.03.2020
248, 48.603;02.03.2020
249, 50.271;03.03.2020
250, 51.558;04.03.2020
251, 52.844;05.03.2020
252, 53.442;06.03.2020
253, 49.221;07.03.2020
254, 45;08.03.2020
255, 44.171;09.03.2020
256, 49.773;10.03.2020
257, 62.702;11.03.2020
258, 62.774;12.03.2020
259, 59.879;13.03.2020
260, 56.985;14.03.2020
261, 46.372;15.03.2020
262, 43.719;16.03.2020
263, 43.719;17.03.2020
264, 51.92;18.03.2020
265, 69.849;19.03.2020
266, 78.854;20.03.2020
267, 80.02;21.03.2020
268, 78.573;22.03.2020
269, 69.286;23.03.2020
270, 82.915;24.03.2020
271, 91.116;25.03.2020
272, 93.648;26.03.2020
273, 98.472;27.03.2020
274, 97.357;28.03.2020
275, 89.397;29.03.2020
276, 78.452;30.03.2020
277, 66.121;31.03.2020
278, 78.905;01.04.2020
279, 97.106;02.04.2020
280, 87.437;03.04.2020
281, 78.289;04.04.2020
282, 73.189;05.04.2020
283, 69.467;06.04.2020
284, 71.719;07.04.2020
285, 72.814;08.04.2020
286, 71.94;09.04.2020
287, 79.658;10.04.2020
288, 87.377;11.04.2020
289, 66.392;12.04.2020
290, 62.412;13.04.2020
291, 71.095;14.04.2020
292, 77.93;15.04.2020
293, 79.296;16.04.2020
294, 87.804;17.04.2020
295, 76.665;18.04.2020
296, 65.526;19.04.2020
297, 58.07;20.04.2020
298, 76.402;21.04.2020
299, 73.839;22.04.2020
300, 68.291;23.04.2020
301, 63.332;24.04.2020
302, 59.352;25.04.2020
303, 55.372;26.04.2020
304, 58.251;27.04.2020
305, 62.111;28.04.2020
306, 66.476;29.04.2020
