202, 127.021;16.01.2020
203, 125.624;17.01.2020
204, 127.223;18.01.2020
205, 127.742;19.01.2020
206, 120.754;20.01.2020
207, 112.238;21.01.2020
208, 101.757;22.01.2020
209, 107.172;23.01.2020
210, 109.318;24.01.2020
211, 100.701;25.01.2020
212, 112.522;26.01.2020
213, 117.413;27.01.2020
214, 111.692;28.01.2020
215, 100.356;29.01.2020
216, 94.824;30.01.2020
217, 98.591;31.01.2020
218, 109.891;01.02.2020
219, 102.03;02.02.2020
220, 105.223;03.02.2020
221, 109.154;04.02.2020
222, 102.703;05.02.2020
223, 98.7;06.02.2020
224, 110.491;07.02.2020
225, 122.283;08.02.2020
226, 130.581;09.02.2020
227, 121.612;10.02.2020
228, 106.888;11.02.2020
229, 121.409;12.02.2020
230, 137.386;13.02.2020
231, 140.589;14.02.2020
232, 97.317;15.02.2020
233, 102.849;16.02.2020
234, 108.832;17.02.2020
235, 116.169;18.02.2020
236, 116.574;19.02.2020
237, 113.829;20.02.2020
238, 108.963;21.02.2020
239, 103.635;22.02.2020
240, 103.285;23.02.2020
241, 102.936;24.02.2020
242, 105.615;25.02.2020
243, 127.687;26.02.2020
244, 141.954;27.02.2020
245, 153.727;28.02.2020
246, 160.016;29.02.2020
247, 154.663;01.03.2020
248, 145.429;02.03.2020
249, 125.667;03.03.2020
250, 114.718;04.03.2020
251, 113.97;05.03.2020
252, 119.051;06.03.2020
253, 131.629;07.03.2020
254, 112.311;08.03.2020
255, 106.948;09.03.2020
256, 102.819;10.03.2020
257, 98.69;11.03.2020
258, 98.469;12.03.2020
259, 102.157;13.03.2020
260, 105.845;14.03.2020
261, 107.718;15.03.2020
262, 108.766;16.03.2020
263, 109.814;17.03.2020
264, 125.749;18.03.2020
265, 143.183;19.03.2020
266, 138.442;20.03.2020
267, 129.926;21.03.2020
268, 112.053;22.03.2020
269, 111.247;23.03.2020
270, 110.441;24.03.2020
271, 109.635;25.03.2020
272, 112.493;26.03.2020
273, 132.175;27.03.2020
274, 163.968;28.03.2020
275, 135.658;29.03.2020
276, 123.957;30.03.2020
277, 121.628;31.03.2020
278, 119.299;01.04.2020
279, 119.466;02.04.2020
280, 119.99;03.04.2020
281, 120.514;04.04.2020
282, 119.189;05.04.2020
283, 117.248;06.04.2020
284, 115.307;07.04.2020
285, 122.01;08.04.2020
286, 131.163;09.04.2020
287, 160.642;10.04.2020
288, 135.603;11.04.2020
289, 134.948;12.04.2020
290, 146.849;13.04.2020
291, 122.392;14.04.2020
292, 142.481;15.04.2020
293, 165.3;16.04.2020
294, 135.603;17.04.2020
295, 115.102;18.04.2020
296, 114.833;19.04.2020
297, 114.565;20.04.2020
298, 114.296;21.04.2020
299, 122.392;22.04.2020
300, 155.583;23.04.2020
301, 163.772;24.04.2020
302, 130.289;25.04.2020
303, 146.303;26.04.2020
304, 134.875;27.04.2020
305, 112.457;28.04.2020
306, 110.011;29.04.2020
307, 111.692;30.04.2020
308, 119.908;01.05.2020
309, 133.447;02.05.2020
310, 128.561;03.05.2020
311, 122.447;04.05.2020
312, 118.09;05.05.2020
313, 115.994;06.05.2020
314, 113.898;07.05.2020
315, 111.801;08.05.2020
316, 109.705;09.05.2020
317, 111.989;10.05.2020
318, 115.732;11.05.2020
319, 124.739;12.05.2020
320, 127.605;13.05.2020
321, 110.528;14.05.2020
322, 132.073;15.05.2020
323, 147.005;16.05.2020
324, 133.279;17.05.2020
325, 119.553;18.05.2020
326, 138.027;19.05.2020
327, 117.413;20.05.2020
328, 125.258;21.05.2020
329, 129.037;22.05.2020
330, 124.544;23.05.2020
331, 130.089;24.05.2020
332, 148.814;25.05.2020
333, 142.7;26.05.2020
334, 132.582;27.05.2020
335, 118.313;28.05.2020
336, 121.33;29.05.2020
337, 124.347;30.05.2020
338, 127.365;31.05.2020
339, 114.749;01.06.2020
340, 112.02;02.06.2020
341, 115.623;03.06.2020
342, 106.549;04.06.2020
343, 107.325;05.06.2020
344, 108.101;06.06.2020
345, 108.011;07.06.2020
346, 106.015;08.06.2020
347, 105.797;09.06.2020
348, 118.025;10.06.2020
349, 123.184;11.06.2020
350, 127.333;12.06.2020
351, 124.357;13.06.2020
352, 112.675;14.06.2020
353, 123.156;15.06.2020
354, 113.767;16.06.2020
355, 121.191;17.06.2020
356, 138.314;18.06.2020
357, 124.048;19.06.2020
358, 112.532;20.06.2020
359, 112.935;21.06.2020
360, 113.338;22.06.2020
361, 113.742;23.06.2020
362, 116.551;24.06.2020
363, 136.203;25.06.2020
364, 123.757;26.06.2020
