201, 40.455;16.01.2020
202, 39.275;17.01.2020
203, 33.872;18.01.2020
204, 31.53;19.01.2020
205, 29.772;20.01.2020
206, 30.863;21.01.2020
207, 32.068;22.01.2020
208, 34.415;23.01.2020
209, 37.104;24.01.2020
210, 39.793;25.01.2020
211, 38.496;26.01.2020
212, 34.957;27.01.2020
213, 33.833;28.01.2020
214, 35.678;29.01.2020
215, 37.523;30.01.2020
216, 36.63;31.01.2020
217, 35.576;01.02.2020
218, 34.63;02.02.2020
219, 34.432;03.02.2020
220, 34.235;04.02.2020
221, 35.022;05.02.2020
222, 36.406;06.02.2020
223, 37.314;07.02.2020
224, 34.678;08.02.2020
225, 35.028;09.02.2020
226, 35.839;10.02.2020
227, 36.65;11.02.2020
228, 37.461;12.02.2020
229, 41.826;13.02.2020
230, 43.317;14.02.2020
231, 41.648;15.02.2020
232, 39.51;16.02.2020
233, 38.901;17.02.2020
234, 40.783;18.02.2020
235, 42.045;19.02.2020
236, 41.141;20.02.2020
237, 40.245;21.02.2020
238, 39.597;22.02.2020
239, 38.948;23.02.2020
240, 38.299;24.02.2020
241, 37.65;25.02.2020
242, 40.597;26.02.2020
243, 43.685;27.02.2020
244, 43.547;28.02.2020
245, 42.453;29.02.2020
246, 41.358;01.03.2020
247, 40.263;02.03.2020
248, 40.552;03.03.2020
249, 41.431;04.03.2020
250, 38.222;05.03.2020
251, 39.18;06.03.2020
252, 38.344;07.03.2020
253, 36.567;08.03.2020
254, 38.559;09.03.2020
255, 40.55;10.03.2020
256, 42.192;11.03.2020
257, 43.563;12.03.2020
258, 44.934;13.03.2020
259, 44.715;14.03.2020
260, 42.409;15.03.2020
261, 40.102;16.03.2020
262, 44.719;17.03.2020
263, 49.874;18.03.2020
264, 54.215;19.03.2020
265, 52.019;20.03.2020
266, 49.822;21.03.2020
267, 47.625;22.03.2020
268, 45.491;23.03.2020
269, 43.47;24.03.2020
270, 44.017;25.03.2020
271, 47.391;26.03.2020
272, 49.517;27.03.2020
273, 50.858;28.03.2020
274, 50.946;29.03.2020
275, 44.586;30.03.2020
276, 41.635;31.03.2020
277, 44.797;01.04.2020
278, 50.569;02.04.2020
279, 46.668;03.04.2020
280, 44.436;04.04.2020
281, 44.172;05.04.2020
282, 43.909;06.04.2020
283, 44.54;07.04.2020
284, 47;08.04.2020
285, 49.46;09.04.2020
286, 50.064;10.04.2020
287, 48.892;11.04.2020
288, 47.721;12.04.2020
289, 46.549;13.04.2020
290, 45.378;14.04.2020
291, 44.206;15.04.2020
292, 46.988;16.04.2020
293, 50.327;17.04.2020
294, 55.595;18.04.2020
295, 53.197;19.04.2020
296, 48.189;20.04.2020
297, 47.789;21.04.2020
298, 48.09;22.04.2020
299, 48.391;23.04.2020
300, 48.692;24.04.2020
301, 50.383;25.04.2020
302, 51.011;26.04.2020
303, 49.535;27.04.2020
304, 52.525;28.04.2020
305, 55.589;29.04.2020
306, 58.56;30.04.2020
307, 61.532;01.05.2020
308, 64.503;02.05.2020
309, 63.429;03.05.2020
310, 61.476;04.05.2020
311, 61.284;05.05.2020
312, 61.093;06.05.2020
313, 60.901;07.05.2020
314, 44.805;08.05.2020
315, 48.143;09.05.2020
316, 50.799;10.05.2020
317, 49.481;11.05.2020
318, 50.83;12.05.2020
319, 52.492;13.05.2020
320, 54.155;14.05.2020
321, 55.817;15.05.2020
322, 56.108;16.05.2020
323, 56.108;17.05.2020
324, 56.108;18.05.2020
325, 56.217;19.05.2020
326, 57.798;20.05.2020
327, 59.38;21.05.2020
328, 57.901;22.05.2020
329, 54.061;23.05.2020
330, 52.479;24.05.2020
331, 54.693;25.05.2020
332, 54.437;26.05.2020
333, 54.225;27.05.2020
334, 55.982;28.05.2020
335, 56.241;29.05.2020
336, 53.889;30.05.2020
